CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Jarvan IV,Boots of Swiftness,Boots,0.0019,1.0,7.33,20.0,Eclipse,Profane Hydra,Sundered Sky
Aatrox,Elixir of Iron,Consumable,0.0084,0.0,2.69,30.0,Spear of Shojin,Sundered Sky,Plated Steelcaps
Rakan,Luden's Companion,Legendary,0.0065,0.6667,3.34,15.0,Hextech Gunblade,Malignance,
Naafiri,Hexdrinker,Epic,0.0172,0.25,1.63,20.0,Voltaic Cyclosword,Edge of Night,Eclipse
Miss Fortune,Steel Sigil,Epic,0.0071,0.0,2.0,30.0,Bloodthirster,Edge of Night,Infinity Edge
Rakan,Boots,Boots,0.0282,0.2308,1.98,5.0,Zeke's Convergence,Bandlepipes,Kindlegem
Yunara,Hexdrinker,Epic,0.0049,0.5,3.6,25.0,Fiendhunter Bolts,Infinity Edge,Kraken Slayer
Fizz,Zhonya's Hourglass,Legendary,0.6167,0.5315,2.69,20.0,Lich Bane,Rabadon's Deathcap,Shadowflame
Jarvan IV,Winged Moonplate,Epic,0.0019,1.0,2.22,25.0,Eclipse,Frozen Heart,Negatron Cloak
Miss Fortune,Cloak of Agility,Basic,0.1821,0.4706,2.29,20.0,The Collector,Bloodthirster,Infinity Edge
Ashe,Phantom Dancer,Legendary,0.4672,0.5078,2.54,20.0,Kraken Slayer,Infinity Edge,Lord Dominik's Regards
Ashe,Noonquiver,Epic,0.0511,0.5714,3.39,25.0,Phantom Dancer,Infinity Edge,Kraken Slayer
Jhin,Noonquiver,Epic,0.0546,0.3438,2.19,25.0,Infinity Edge,Stormrazor,Rapid Firecannon
Hecarim,Maw of Malmortius,Legendary,0.1487,0.525,4.31,30.0,Spear of Shojin,Black Cleaver,Endless Hunger
Yorick,Hullbreaker,Legendary,0.163,0.5909,2.07,20.0,Trinity Force,Spear of Shojin,Serylda's Grudge
Amumu,Cloth Armor,Basic,0.2658,0.5238,2.79,10.0,Liandry's Torment,Plated Steelcaps,Abyssal Mask
Janna,Oblivion Orb,Epic,0.0505,0.4643,4.53,20.0,Moonstone Renewer,Redemption,Shurelya's Battlesong
Gwen,Doran's Blade,Starter,0.002,0.0,0.64,5.0,Hextech Alternator,Ionian Boots of Lucidity,Nashor's Tooth
Katarina,Boots,Boots,0.0674,0.3125,1.19,10.0,Kraken Slayer,Recurve Bow,Hextech Gunblade
Udyr,Bloodletter's Curse,Legendary,0.0333,0.2,3.99,25.0,Liandry's Torment,Riftmaker,Spirit Visage
Belveth,Negatron Cloak,Epic,0.0815,0.5455,4.61,25.0,Kraken Slayer,Stridebreaker,Blade of The Ruined King
Zyra,Glowing Mote,Basic,0.044,0.4286,2.7,15.0,Liandry's Torment,Oblivion Orb,Sorcerer's Shoes
Brand,Seeker's Armguard,Epic,0.0397,0.5,3.6,25.0,Rylai's Crystal Scepter,Liandry's Torment,Bloodletter's Curse
Swain,Blackfire Torch,Legendary,0.3197,0.4872,3.14,15.0,Rylai's Crystal Scepter,Zhonya's Hourglass,Liandry's Torment
Naafiri,Profane Hydra,Legendary,0.3484,0.5123,3.13,10.0,Axiom Arc,Serylda's Grudge,Serpent's Fang
Annie,Sorcerer's Shoes,Boots,0.3091,0.2941,2.1,10.0,Malignance,Stormsurge,Shadowflame
Ashe,Boots,Boots,0.0036,1.0,1.0,5.0,Hearthbound Axe,Rectrix,
Draven,Mercury's Treads,Boots,0.0393,0.6923,3.19,20.0,Bloodthirster,Infinity Edge,Essence Reaver
Senna,Youmuu's Ghostblade,Legendary,0.0294,0.625,3.0,15.0,Infinity Edge,Stormrazor,Phantom Dancer
Kassadin,Luden's Companion,Legendary,0.0136,0.7143,5.11,15.0,Malignance,Mejai's Soulstealer,Rod of Ages
Anivia,Fated Ashes,Epic,0.0561,0.625,2.25,20.0,Rod of Ages,Haunting Guise,Malignance
Thresh,Ionian Boots of Lucidity,Boots,0.1886,0.5841,3.23,10.0,Locket of the Iron Solari,Bandlepipes,Kindlegem
Orianna,Mejai's Soulstealer,Legendary,0.0536,0.8095,4.45,30.0,Rabadon's Deathcap,Blackfire Torch,Shadowflame
Monkey King,Boots of Swiftness,Boots,0.0116,1.0,2.08,20.0,Black Cleaver,Phage,Sundered Sky
Xin Zhao,Warden's Mail,Epic,0.0286,0.5,3.43,25.0,Sundered Sky,Black Cleaver,Death's Dance
Twitch,Verdant Barrier,Epic,0.0139,0.1667,1.82,30.0,Nashor's Tooth,Rabadon's Deathcap,Zhonya's Hourglass
Ezreal,Zhonya's Hourglass,Legendary,0.0089,0.2,3.28,40.0,Endless Hunger,Essence Reaver,Serylda's Grudge
Sion,Umbral Glaive,Legendary,0.0054,1.0,1.89,10.0,Opportunity,Youmuu's Ghostblade,Bastionbreaker
Zyra,Ionian Boots of Lucidity,Boots,0.0566,0.5556,2.66,20.0,Rylai's Crystal Scepter,Liandry's Torment,Fated Ashes
Olaf,Refillable Potion,Consumable,0.0419,0.25,1.96,5.0,Doran's Blade,Long Sword,Stridebreaker
Ornn,Null-Magic Mantle,Basic,0.0665,0.5455,1.58,5.0,Plated Steelcaps,Sunfire Aegis,Unending Despair
Udyr,Oracle Lens,Trinket,0.44,0.3333,2.85,5.0,Liandry's Torment,Dark Seal,Mercury's Treads
Rengar,Lost Chapter,Epic,0.0026,0.0,0.71,25.0,Hextech Alternator,Malignance,
Nasus,Sterak's Gage,Legendary,0.035,0.2,2.85,30.0,Trinity Force,Bandlepipes,Spirit Visage
Varus,Youmuu's Ghostblade,Legendary,0.3212,0.4661,2.43,15.0,Edge of Night,Serylda's Grudge,Serpent's Fang
Nilah,Blade of The Ruined King,Legendary,0.0088,1.0,1.14,40.0,Infinity Edge,Lord Dominik's Regards,Navori Flickerblade
Briar,Wit's End,Legendary,0.0088,0.0,3.29,30.0,Black Cleaver,Blade of The Ruined King,Kraken Slayer
Renekton,Doran's Blade,Starter,0.3589,0.5,1.73,5.0,Eclipse,Plated Steelcaps,Black Cleaver
Ekko,Ruby Crystal,Basic,0.0026,0.5,1.75,10.0,Blasting Wand,Dusk and Dawn,Fiendish Codex
Hwei,Fiendish Codex,Epic,0.0936,0.3684,1.55,20.0,Blackfire Torch,Liandry's Torment,Shadowflame
Diana,Null-Magic Mantle,Basic,0.0124,0.6,3.91,15.0,Dusk and Dawn,Riftmaker,Plated Steelcaps
Mordekaiser,Hextech Gunblade,Legendary,0.0343,0.8333,2.41,25.0,Rylai's Crystal Scepter,Dusk and Dawn,Experimental Hexplate
Vi,Last Whisper,Epic,0.0083,1.0,3.2,25.0,Eclipse,Executioner's Calling,The Collector
Miss Fortune,Ionian Boots of Lucidity,Boots,0.0071,0.5,2.25,15.0,Fiendish Codex,Liandry's Torment,
Alistar,Abyssal Mask,Legendary,0.0296,0.5,3.02,35.0,Locket of the Iron Solari,Zeke's Convergence,Bandlepipes
Twitch,Serpent's Fang,Legendary,0.0186,0.5,2.61,25.0,The Collector,Fiendhunter Bolts,Infinity Edge
Diana,Frozen Heart,Legendary,0.0087,0.5714,3.94,30.0,Riftmaker,Liandry's Torment,Dusk and Dawn
Ashe,Malignance,Legendary,0.0146,1.0,2.56,25.0,Bandlepipes,Imperial Mandate,Solstice Sleigh
Briar,Tunneler,Epic,0.0885,0.6,3.37,10.0,Black Cleaver,Titanic Hydra,Death's Dance
Fizz,Riftmaker,Legendary,0.0111,0.5,1.88,15.0,Bloodletter's Curse,Dusk and Dawn,Liandry's Torment
Nocturne,Bastionbreaker,Legendary,0.0161,0.5,2.83,25.0,Axiom Arc,Profane Hydra,Serpent's Fang
Leblanc,Mercury's Treads,Boots,0.0403,0.6364,4.33,15.0,Luden's Companion,Shadowflame,Rabadon's Deathcap
Hwei,Amplifying Tome,Basic,0.2611,0.4717,2.47,5.0,Blackfire Torch,Liandry's Torment,Horizon Focus
Yasuo,Elixir of Iron,Consumable,0.0035,0.3333,2.06,35.0,Blade of The Ruined King,Lord Dominik's Regards,Immortal Shieldbow
Garen,Phantom Dancer,Legendary,0.4836,0.5339,1.95,20.0,Stridebreaker,Mortal Reminder,Infinity Edge
Warwick,Eclipse,Legendary,0.0226,0.0,1.11,10.0,Profane Hydra,Blade of The Ruined King,
Kayle,Phantom Dancer,Legendary,0.0155,0.5,1.51,30.0,Nashor's Tooth,Rabadon's Deathcap,Lich Bane
Caitlyn,Scout's Slingshot,Epic,0.0332,0.24,1.46,10.0,Infinity Edge,Zeal,The Collector
Akali,Ionian Boots of Lucidity,Boots,0.0037,0.5,2.44,15.0,Blighting Jewel,Fiendish Codex,Hextech Alternator
Nautilus,Health Potion,Consumable,0.0012,0.0,0.33,5.0,Cloth Armor,Kindlegem,Plated Steelcaps
