CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Leona,Mercury's Treads,Boots,0.3497,0.5333,2.7,15.0,Locket of the Iron Solari,Bandlepipes,Kindlegem
Maokai,Refillable Potion,Consumable,0.0694,0.6,3.67,5.0,Boots of Swiftness,Control Ward,Bandlepipes
Trundle,Cloth Armor,Basic,0.0978,0.2222,1.81,20.0,Bandlepipes,Kindlegem,Mercury's Treads
Bard,Scout's Slingshot,Epic,0.0033,0.5,2.19,30.0,Bandlepipes,Dead Man's Plate,Knight's Vow
Tahm Kench,Crystalline Bracer,Epic,0.0337,0.3333,1.27,10.0,Giant's Belt,Bramble Vest,Celestial Opposition
Belveth,Mercurial Scimitar,Legendary,0.0074,1.0,7.33,35.0,Blade of The Ruined King,Death's Dance,Guardian Angel
Malzahar,Ionian Boots of Lucidity,Boots,0.1049,0.3529,1.91,15.0,Blackfire Torch,Rylai's Crystal Scepter,Liandry's Torment
Riven,Fiendhunter Bolts,Legendary,0.0051,0.5,3.5,15.0,Axiom Arc,Death's Dance,Endless Hunger
Braum,Kaenic Rookern,Legendary,0.0139,0.5556,2.44,35.0,Locket of the Iron Solari,Bandlepipes,Knight's Vow
Teemo,Liandry's Torment,Legendary,0.7206,0.4898,1.95,20.0,Malignance,Nashor's Tooth,Void Staff
Nautilus,Glowing Mote,Basic,0.0208,0.4118,2.61,20.0,Bandlepipes,Locket of the Iron Solari,Plated Steelcaps
Qiyana,Boots,Boots,0.0552,0.3448,1.93,10.0,Profane Hydra,Umbral Glaive,Axiom Arc
Karma,Sorcerer's Shoes,Boots,0.003,0.0,0.9,15.0,Malignance,,
Yunara,Health Potion,Consumable,0.0012,1.0,1.8,5.0,Doran's Blade,Fiendhunter Bolts,Infinity Edge
Kled,Stealth Ward,Trinket,0.2963,0.4375,1.92,5.0,Titanic Hydra,Plated Steelcaps,Doran's Blade
Nunu,Control Ward,Consumable,0.1542,0.7097,3.91,5.0,Liandry's Torment,Plated Steelcaps,Dark Seal
Aurora,Fated Ashes,Epic,0.0091,0.5,0.81,10.0,Haunting Guise,Luden's Companion,Rabadon's Deathcap
Briar,Pickaxe,Basic,0.1504,0.4706,3.03,5.0,Titanic Hydra,Black Cleaver,Plated Steelcaps
Alistar,Forbidden Idol,Epic,0.0123,1.0,4.8,20.0,Bandlepipes,Protoplasm Harness,Zeke's Convergence
Skarner,Spectre's Cowl,Epic,0.0513,0.5,3.94,25.0,Dead Man's Plate,Heartsteel,Kindlegem
Renekton,Oracle Lens,Trinket,0.201,0.5238,1.85,20.0,Plated Steelcaps,Eclipse,Black Cleaver
Seraphine,Ardent Censer,Legendary,0.0108,0.6667,4.43,30.0,Moonstone Renewer,Redemption,Echoes of Helia
Corki,Glowing Mote,Basic,0.006,0.25,0.3,10.0,Long Sword,Trinity Force,Boots of Swiftness
Shen,Abyssal Mask,Legendary,0.0222,0.5,3.0,25.0,Titanic Hydra,Zeke's Convergence,Bandlepipes
Illaoi,Serrated Dirk,Epic,0.0164,1.0,2.5,15.0,Black Cleaver,Endless Hunger,Hextech Gunblade
Vladimir,Chain Vest,Epic,0.0031,0.0,3.0,30.0,Hextech Rocketbelt,Mejai's Soulstealer,Negatron Cloak
Zed,Cloth Armor,Basic,0.0056,0.5,3.13,10.0,Ionian Boots of Lucidity,Edge of Night,Serylda's Grudge
Singed,Elixir of Iron,Consumable,0.0233,0.8,2.49,30.0,Rylai's Crystal Scepter,Liandry's Torment,Hextech Rocketbelt
Tahm Kench,Haunting Guise,Epic,0.0562,0.8,1.78,25.0,Dusk and Dawn,Warmog's Armor,Fiendish Codex
Zoe,Morellonomicon,Legendary,0.0069,1.0,7.63,35.0,Horizon Focus,Blackfire Torch,Cryptbloom
Mel,Liandry's Torment,Legendary,0.1008,0.5417,2.24,20.0,Blackfire Torch,Shadowflame,Zhonya's Hourglass
Malphite,Unending Despair,Legendary,0.0216,0.5,2.9,25.0,Frozen Heart,Randuin's Omen,"Jak'Sho, The Protean"
Poppy,Dead Man's Plate,Legendary,0.3956,0.5417,2.57,20.0,Bandlepipes,Locket of the Iron Solari,Force of Nature
Braum,Oracle Lens,Trinket,0.983,0.5079,2.93,10.0,Control Ward,Bandlepipes,Locket of the Iron Solari
Cassiopeia,Mejai's Soulstealer,Legendary,0.0212,1.0,2.74,25.0,Rod of Ages,Rylai's Crystal Scepter,Cosmic Drive
Aatrox,Warden's Mail,Epic,0.0084,0.75,7.65,30.0,Sundered Sky,Death's Dance,Giant's Belt
Volibear,Sheen,Epic,0.0018,0.0,0.33,10.0,Kindlegem,,
Poppy,"Jak'Sho, The Protean",Legendary,0.0549,0.7,2.06,25.0,Protoplasm Harness,Sundered Sky,Bastionbreaker
Sivir,Infinity Edge,Legendary,0.7022,0.5406,2.68,25.0,Essence Reaver,Navori Flickerblade,Yun Tal Wildarrows
Blitzcrank,Luden's Companion,Legendary,0.0045,1.0,2.57,20.0,Stormsurge,,
Galio,Bandlepipes,Legendary,0.0489,0.4706,2.17,15.0,Locket of the Iron Solari,Redemption,Dead Man's Plate
Nasus,Spirit Visage,Legendary,0.3916,0.625,2.32,25.0,Trinity Force,Frozen Heart,Thornmail
Zed,Boots,Boots,0.0573,0.439,2.75,10.0,Voltaic Cyclosword,Umbral Glaive,Axiom Arc
Kassadin,Tear of the Goddess,Starter,0.2471,0.4331,1.79,5.0,Rod of Ages,Dark Seal,Malignance
Soraka,Knight's Vow,Legendary,0.0036,1.0,7.5,25.0,Moonstone Renewer,,
Kassadin,Spirit Visage,Legendary,0.0019,1.0,3.2,30.0,Malignance,Rabadon's Deathcap,Rod of Ages
Jayce,Steel Sigil,Epic,0.026,0.3333,2.29,30.0,Youmuu's Ghostblade,Opportunity,Serylda's Grudge
Nilah,Phantom Dancer,Legendary,0.0177,1.0,3.83,20.0,The Collector,Death's Dance,Immortal Shieldbow
Hwei,Null-Magic Mantle,Basic,0.0049,0.0,1.43,25.0,Blackfire Torch,Oblivion Orb,Shadowflame
Azir,Blasting Wand,Basic,0.0687,0.3333,1.66,5.0,Nashor's Tooth,Rabadon's Deathcap,Blighting Jewel
Rengar,Oracle Lens,Trinket,0.4974,0.4947,2.58,5.0,Profane Hydra,Umbral Glaive,Ionian Boots of Lucidity
Shaco,Oblivion Orb,Epic,0.0744,0.2174,2.12,20.0,Blackfire Torch,Liandry's Torment,Blighting Jewel
Shaco,Blasting Wand,Basic,0.0032,0.0,0.88,20.0,Blackfire Torch,Ionian Boots of Lucidity,Liandry's Torment
Senna,Rectrix,Epic,0.0037,1.0,1.38,10.0,Black Cleaver,Kraken Slayer,
Leona,Oblivion Orb,Epic,0.0052,0.5,1.86,5.0,Bandlepipes,Kindlegem,Locket of the Iron Solari
Olaf,Caulfield's Warhammer,Epic,0.0628,0.5,1.47,10.0,Stridebreaker,Steel Sigil,Death's Dance
Cassiopeia,Cryptbloom,Legendary,0.0085,0.5,2.42,25.0,Rylai's Crystal Scepter,Mejai's Soulstealer,Rod of Ages
Taliyah,Zhonya's Hourglass,Legendary,0.3006,0.5646,3.6,25.0,Blackfire Torch,Shadowflame,Rabadon's Deathcap
Trundle,Null-Magic Mantle,Basic,0.0761,0.4286,2.24,10.0,Plated Steelcaps,Bandlepipes,Ravenous Hydra
Lulu,Berserker's Greaves,Boots,0.0015,1.0,1.5,20.0,Ardent Censer,Fiendish Codex,Forbidden Idol
Fiddlesticks,Seeker's Armguard,Epic,0.1086,0.4167,3.91,25.0,Liandry's Torment,Shadowflame,Hextech Rocketbelt
Sett,Spear of Shojin,Legendary,0.1055,0.4762,1.77,25.0,Stridebreaker,Overlord's Bloodmail,Sterak's Gage
Gnar,Winged Moonplate,Epic,0.0097,0.5,2.25,25.0,Trinity Force,Black Cleaver,Negatron Cloak
Kaisa,Endless Hunger,Legendary,0.0012,1.0,3.4,25.0,Dusk and Dawn,Guinsoo's Rageblade,Kraken Slayer
Lulu,Shurelya's Battlesong,Legendary,0.1929,0.5344,3.57,25.0,Ardent Censer,Redemption,Moonstone Renewer
Nilah,The Collector,Legendary,0.708,0.5125,2.1,15.0,Infinity Edge,Lord Dominik's Regards,Immortal Shieldbow
Zilean,Mikael's Blessing,Legendary,0.0543,0.6,4.31,25.0,Bandlepipes,Locket of the Iron Solari,Shurelya's Battlesong
Rengar,Control Ward,Consumable,0.0238,0.7778,3.27,5.0,Umbral Glaive,Boots,Profane Hydra
Rek Sai,Protoplasm Harness,Legendary,0.0035,1.0,6.5,25.0,Dead Man's Plate,Serpent's Fang,Spear of Shojin
Karma,Echoes of Helia,Legendary,0.1366,0.5385,3.07,15.0,Moonstone Renewer,Redemption,Dawncore
Renekton,Thornmail,Legendary,0.0072,0.6667,5.21,25.0,Black Cleaver,Death's Dance,Eclipse
Malzahar,Lost Chapter,Epic,0.0185,0.0,0.8,10.0,Haunting Guise,Liandry's Torment,Rod of Ages
Syndra,Blackfire Torch,Legendary,0.5195,0.529,2.5,15.0,Cosmic Drive,Rabadon's Deathcap,Void Staff
Kindred,Lord Dominik's Regards,Legendary,0.2105,0.6071,2.49,25.0,The Collector,Kraken Slayer,Infinity Edge
Swain,Elixir of Sorcery,Consumable,0.0109,0.5,2.31,30.0,Liandry's Torment,Blackfire Torch,Rylai's Crystal Scepter
Caitlyn,Dagger,Basic,0.0796,0.4833,1.73,10.0,Infinity Edge,The Collector,Berserker's Greaves
Kalista,Terminus,Legendary,0.3905,0.6585,2.75,25.0,Blade of The Ruined King,Guinsoo's Rageblade,"Jak'Sho, The Protean"
Tahm Kench,Tiamat,Epic,0.0112,1.0,1.75,20.0,Dusk and Dawn,Phage,
Kayle,Glowing Mote,Basic,0.0078,0.5,1.15,10.0,Nashor's Tooth,Rabadon's Deathcap,Aether Wisp
Udyr,Glowing Mote,Basic,0.0133,0.0,1.67,5.0,Amplifying Tome,Boots of Swiftness,Dead Man's Plate
Ahri,Oblivion Orb,Epic,0.0518,0.3478,3.0,20.0,Blackfire Torch,Malignance,Rabadon's Deathcap
Leona,Bandlepipes,Legendary,0.5104,0.5127,2.63,15.0,Locket of the Iron Solari,Protoplasm Harness,Knight's Vow
Nasus,Fiendhunter Bolts,Legendary,0.007,1.0,3.5,25.0,Essence Reaver,Experimental Hexplate,
Graves,Mortal Reminder,Legendary,0.1145,0.4,2.28,25.0,The Collector,Youmuu's Ghostblade,Immortal Shieldbow
Blitzcrank,Nashor's Tooth,Legendary,0.0045,0.0,0.7,30.0,Malignance,,
Ryze,Tear of the Goddess,Starter,0.1709,0.3162,1.28,5.0,Rod of Ages,Doran's Ring,Lost Chapter
Heimerdinger,Control Ward,Consumable,0.1525,0.6667,1.52,10.0,Shadowflame,Sorcerer's Shoes,Rabadon's Deathcap
Olaf,Force of Nature,Legendary,0.0157,0.3333,2.3,30.0,Death's Dance,Experimental Hexplate,Overlord's Bloodmail
Kayle,B. F. Sword,Basic,0.0039,1.0,1.89,10.0,Berserker's Greaves,Infinity Edge,Long Sword
Orianna,Bloodletter's Curse,Legendary,0.0077,0.6667,2.21,25.0,Blackfire Torch,Rabadon's Deathcap,Liandry's Torment
Twitch,Ionian Boots of Lucidity,Boots,0.0464,0.5,2.34,15.0,Nashor's Tooth,Rabadon's Deathcap,Zhonya's Hourglass
Nasus,Sheen,Epic,0.0559,0.25,0.82,10.0,Phage,Frozen Heart,Spirit Visage
Urgot,Youmuu's Ghostblade,Legendary,0.055,0.5833,2.14,20.0,Black Cleaver,Sterak's Gage,Edge of Night
Maokai,Kindlegem,Epic,0.2222,0.625,2.17,10.0,Trailblazer,Bandlepipes,Locket of the Iron Solari
Shyvana,Stealth Ward,Trinket,0.1538,0.5,3.58,5.0,Dusk and Dawn,Mercury's Treads,Sorcerer's Shoes
Sona,Shurelya's Battlesong,Legendary,0.0124,0.3333,5.36,20.0,Zhonya's Hourglass,Echoes of Helia,
Yorick,Bastionbreaker,Legendary,0.0519,0.2857,1.09,15.0,Serylda's Grudge,Axiom Arc,Chempunk Chainsword
Viktor,Cosmic Drive,Legendary,0.1185,0.5938,3.04,20.0,Blackfire Torch,Rod of Ages,Zhonya's Hourglass
Xin Zhao,Giant's Belt,Epic,0.0143,0.5,3.89,10.0,Sundered Sky,Black Cleaver,Death's Dance
Singed,Amplifying Tome,Basic,0.1023,0.4545,1.24,5.0,Liandry's Torment,Boots of Swiftness,Protoplasm Harness
Rengar,Eclipse,Legendary,0.0079,0.0,1.72,20.0,Profane Hydra,Death's Dance,Infinity Edge
Kayn,Steel Sigil,Epic,0.0843,0.3333,2.34,25.0,Black Cleaver,Caulfield's Warhammer,Voltaic Cyclosword
Kled,Farsight Alteration,Trinket,0.1111,0.4167,1.99,15.0,Titanic Hydra,Tunneler,Black Cleaver
Belveth,Doran's Blade,Starter,0.0074,0.0,0.2,5.0,Blade of The Ruined King,Boots,Long Sword
Sett,Ruby Crystal,Basic,0.2312,0.4783,1.34,20.0,Stridebreaker,Plated Steelcaps,Overlord's Bloodmail
Aurelion Sol,Void Staff,Legendary,0.0179,0.5,3.91,25.0,Rylai's Crystal Scepter,Liandry's Torment,Zhonya's Hourglass
Singed,Cosmic Drive,Legendary,0.0047,0.0,2.57,20.0,Hextech Rocketbelt,Liandry's Torment,Rylai's Crystal Scepter
Samira,Death's Dance,Legendary,0.0046,0.0,2.1,30.0,Immortal Shieldbow,Infinity Edge,Lord Dominik's Regards
Trundle,Doran's Shield,Starter,0.0435,0.0,0.87,5.0,Ravenous Hydra,Blade of The Ruined King,Bandlepipes
Bard,Bandlepipes,Legendary,0.5083,0.4643,3.1,15.0,Dead Man's Plate,Locket of the Iron Solari,Liandry's Torment
Trundle,Stridebreaker,Legendary,0.0109,0.0,1.88,20.0,Bandlepipes,Zeke's Convergence,
Udyr,Dead Man's Plate,Legendary,0.3467,0.3462,2.78,20.0,Liandry's Torment,Spirit Visage,Randuin's Omen
Morgana,Winged Moonplate,Epic,0.007,1.0,2.6,20.0,Chain Vest,Imperial Mandate,
Tryndamere,Essence Reaver,Legendary,0.2136,0.5455,1.86,15.0,Infinity Edge,Ravenous Hydra,Lord Dominik's Regards
Neeko,Sorcerer's Shoes,Boots,0.2021,0.5614,3.16,20.0,Hextech Rocketbelt,Zhonya's Hourglass,Shadowflame
Draven,Ruby Crystal,Basic,0.003,0.0,1.63,25.0,Infinity Edge,Mortal Reminder,The Collector
Veigar,Stormsurge,Legendary,0.1265,0.5484,2.27,20.0,Luden's Companion,Rabadon's Deathcap,Void Staff
Twitch,Berserker's Greaves,Boots,0.3155,0.5294,2.34,15.0,Infinity Edge,Fiendhunter Bolts,The Collector
Milio,Cloth Armor,Basic,0.0027,1.0,2.56,35.0,Dawncore,Ionian Boots of Lucidity,Moonstone Renewer
Vladimir,Doran's Shield,Starter,0.0031,0.0,0.67,5.0,Fiendish Codex,Haunting Guise,Horizon Focus
Hwei,Lost Chapter,Epic,0.0246,0.2,1.14,10.0,Blackfire Torch,Liandry's Torment,Bloodletter's Curse
Olaf,Null-Magic Mantle,Basic,0.0262,0.6,2.13,25.0,Death's Dance,Plated Steelcaps,Experimental Hexplate
Belveth,Boots of Swiftness,Boots,0.0148,1.0,5.56,15.0,Blade of The Ruined King,Kraken Slayer,Stridebreaker
Ahri,Hextech Alternator,Epic,0.0586,0.4231,2.39,20.0,Malignance,Zhonya's Hourglass,Luden's Companion
Orianna,Stealth Ward,Trinket,0.1352,0.4717,2.15,5.0,Doran's Ring,Dark Seal,Needlessly Large Rod
Skarner,Randuin's Omen,Legendary,0.0256,0.0,2.13,25.0,Dead Man's Plate,,
Lux,Riftmaker,Legendary,0.0034,0.0,7.33,20.0,Bandlepipes,Mejai's Soulstealer,
Nunu,Void Staff,Legendary,0.005,0.0,2.29,25.0,Hextech Rocketbelt,Rabadon's Deathcap,
Fiddlesticks,Liandry's Torment,Legendary,0.3167,0.4714,3.0,15.0,Shadowflame,Zhonya's Hourglass,Malignance
Azir,Rabadon's Deathcap,Legendary,0.3359,0.4545,2.24,25.0,Nashor's Tooth,Zhonya's Hourglass,Rylai's Crystal Scepter
Morgana,Cloth Armor,Basic,0.042,0.6667,6.51,20.0,Ionian Boots of Lucidity,Liandry's Torment,Rylai's Crystal Scepter
Anivia,Fiendish Codex,Epic,0.0561,0.5,2.92,20.0,Rod of Ages,Liandry's Torment,Blighting Jewel
Volibear,Chain Vest,Epic,0.1009,0.5179,2.76,25.0,Dusk and Dawn,Navori Flickerblade,Spirit Visage
Ezreal,Ravenous Hydra,Legendary,0.0018,1.0,3.0,15.0,Trinity Force,,
Shen,Negatron Cloak,Epic,0.1222,0.5455,3.05,25.0,Titanic Hydra,Dead Man's Plate,Bramble Vest
Maokai,Locket of the Iron Solari,Legendary,0.3472,0.56,2.23,25.0,Bandlepipes,Trailblazer,Knight's Vow
Gragas,Bandlepipes,Legendary,0.0143,0.3333,2.31,15.0,Locket of the Iron Solari,,
Fiora,Mercurial Scimitar,Legendary,0.0036,1.0,2.5,35.0,Death's Dance,Maw of Malmortius,Ravenous Hydra
Ambessa,Death's Dance,Legendary,0.3187,0.5413,2.72,25.0,Spear of Shojin,Eclipse,Profane Hydra
Aphelios,Mercurial Scimitar,Legendary,0.0172,0.5,2.42,30.0,Infinity Edge,Lord Dominik's Regards,Stormrazor
Sejuani,Control Ward,Consumable,0.1905,0.375,3.29,5.0,Plated Steelcaps,Sunfire Aegis,Mercury's Treads
Rammus,Hollow Radiance,Legendary,0.1948,0.2667,4.29,20.0,Thornmail,"Jak'Sho, The Protean",Kaenic Rookern
Corki,Boots of Swiftness,Boots,0.0729,0.449,2.86,15.0,Trinity Force,Infinity Edge,Essence Reaver
Poppy,Glowing Mote,Basic,0.0055,0.0,1.67,15.0,Giant's Belt,"Jak'Sho, The Protean",Plated Steelcaps
Udyr,Control Ward,Consumable,0.0667,0.5,2.83,10.0,Liandry's Torment,Boots of Swiftness,Plated Steelcaps
Trundle,Randuin's Omen,Legendary,0.0652,0.5,2.57,25.0,Ravenous Hydra,Bandlepipes,Blade of The Ruined King
Nami,Horizon Focus,Legendary,0.0019,0.5,4.0,25.0,Imperial Mandate,,
Zeri,Kaenic Rookern,Legendary,0.0082,1.0,2.2,25.0,Fiendhunter Bolts,Infinity Edge,Yun Tal Wildarrows
Jinx,Rectrix,Epic,0.0029,0.0,0.38,10.0,Recurve Bow,Hearthbound Axe,Scout's Slingshot
Mordekaiser,Health Potion,Consumable,0.0171,0.3333,1.17,5.0,Amplifying Tome,Doran's Shield,Mercury's Treads
Ryze,Sapphire Crystal,Basic,0.0515,0.1951,1.44,5.0,Rod of Ages,Amplifying Tome,Blasting Wand
Rumble,Hextech Alternator,Epic,0.0762,0.4583,2.46,10.0,Liandry's Torment,Zhonya's Hourglass,Bloodletter's Curse
Syndra,Liandry's Torment,Legendary,0.0071,0.5,4.22,25.0,Blackfire Torch,Rabadon's Deathcap,Void Staff
Irelia,Ruby Crystal,Basic,0.0636,0.3571,1.03,15.0,Blade of The Ruined King,Wit's End,Tunneler
Ryze,Null-Magic Mantle,Basic,0.0063,0.0,2.24,10.0,Rod of Ages,Boots,Actualizer
Talon,Pickaxe,Basic,0.0541,0.5,3.41,15.0,Youmuu's Ghostblade,Umbral Glaive,Long Sword
Naafiri,Black Cleaver,Legendary,0.0903,0.4524,2.79,20.0,Eclipse,Death's Dance,Profane Hydra
Alistar,Echoes of Helia,Legendary,0.0025,0.0,2.22,20.0,,,
Renekton,Caulfield's Warhammer,Epic,0.0718,0.6,1.84,10.0,Eclipse,Black Cleaver,Steel Sigil
Lulu,Elixir of Iron,Consumable,0.0015,1.0,10.33,35.0,Control Ward,Ionian Boots of Lucidity,Mikael's Blessing
Jhin,Dagger,Basic,0.0956,0.5714,2.94,10.0,Infinity Edge,Stormrazor,Boots of Swiftness
Zyra,Farsight Alteration,Trinket,0.2201,0.4571,2.62,15.0,Liandry's Torment,Sorcerer's Shoes,Blackfire Torch
Zyra,Bloodletter's Curse,Legendary,0.0503,0.375,2.08,25.0,Liandry's Torment,Zhonya's Hourglass,Rylai's Crystal Scepter
Miss Fortune,Last Whisper,Epic,0.0643,0.3333,2.34,20.0,The Collector,Bloodthirster,Infinity Edge
Irelia,Chain Vest,Epic,0.0045,0.0,1.38,25.0,Blade of The Ruined King,Death's Dance,Hullbreaker
Dr Mundo,Frozen Heart,Legendary,0.0018,1.0,2.25,30.0,Dead Man's Plate,Heartsteel,
Nidalee,Dawncore,Legendary,0.0055,1.0,3.29,25.0,Moonstone Renewer,Redemption,
Zed,Phage,Epic,0.007,0.8,2.57,15.0,Eclipse,Kindlegem,Voltaic Cyclosword
Karma,Elixir of Sorcery,Consumable,0.006,0.25,3.09,30.0,Ionian Boots of Lucidity,Control Ward,Echoes of Helia
Lillia,Liandry's Torment,Legendary,0.9615,0.34,2.87,15.0,Riftmaker,Zhonya's Hourglass,Rylai's Crystal Scepter
Sejuani,Thornmail,Legendary,0.1667,0.3571,4.72,25.0,Heartsteel,Protoplasm Harness,Unending Despair
Veigar,Negatron Cloak,Epic,0.0041,1.0,3.75,15.0,Rabadon's Deathcap,Rod of Ages,Void Staff
Malphite,Redemption,Legendary,0.0022,1.0,3.2,25.0,Bandlepipes,Zeke's Convergence,
Tryndamere,Doran's Shield,Starter,0.0777,0.125,0.6,5.0,Ravenous Hydra,Berserker's Greaves,Dagger
Milio,Mikael's Blessing,Legendary,0.0357,0.6154,3.61,25.0,Echoes of Helia,Ardent Censer,Moonstone Renewer
Olaf,Mercury's Treads,Boots,0.0419,0.75,2.03,15.0,Stridebreaker,Sundered Sky,Death's Dance
Ezreal,Dark Seal,Starter,0.0018,1.0,3.5,15.0,Doran's Blade,Essence Reaver,Long Sword
Pantheon,Profane Hydra,Legendary,0.0062,1.0,2.63,15.0,Blade of The Ruined King,Edge of Night,Serpent's Fang
Evelynn,Sorcerer's Shoes,Boots,0.9009,0.42,3.35,15.0,Lich Bane,Rabadon's Deathcap,Mejai's Soulstealer
Diana,Serrated Dirk,Epic,0.0012,0.0,1.67,30.0,Dusk and Dawn,Oblivion Orb,Riftmaker
Janna,Aether Wisp,Epic,0.0686,0.5263,3.98,10.0,Moonstone Renewer,Redemption,Forbidden Idol
Katarina,Sheen,Epic,0.0021,0.0,1.5,10.0,Hextech Gunblade,,
Nidalee,Plated Steelcaps,Boots,0.0275,0.8,1.98,15.0,Hextech Gunblade,Trinity Force,Negatron Cloak
Thresh,Fiendish Codex,Epic,0.0367,0.4545,3.46,20.0,Locket of the Iron Solari,Forbidden Idol,Knight's Vow
Khazix,Last Whisper,Epic,0.1192,0.5,2.75,25.0,Umbral Glaive,Edge of Night,Bastionbreaker
Nocturne,The Collector,Legendary,0.0081,0.0,1.83,30.0,Axiom Arc,Edge of Night,Opportunity
Miss Fortune,B. F. Sword,Basic,0.1464,0.4634,2.16,10.0,The Collector,Bloodthirster,Youmuu's Ghostblade
Zyra,Plated Steelcaps,Boots,0.0063,1.0,6.0,25.0,Banshee's Veil,Blighting Jewel,Liandry's Torment
Nami,Bandlepipes,Legendary,0.0279,0.4667,3.65,30.0,Imperial Mandate,Echoes of Helia,Moonstone Renewer
Gangplank,Berserker's Greaves,Boots,0.0114,0.5,1.44,20.0,Essence Reaver,Lord Dominik's Regards,Infinity Edge
Taric,Oracle Lens,Trinket,0.9868,0.5,2.76,5.0,Control Ward,Locket of the Iron Solari,Tear of the Goddess
Nautilus,Hollow Radiance,Legendary,0.0025,0.0,0.48,15.0,,,
Neeko,Faerie Charm,Basic,0.0035,1.0,3.83,20.0,Fiendish Codex,Hextech Rocketbelt,Ionian Boots of Lucidity
Kog Maw,Cull,Starter,0.027,0.25,0.84,5.0,Dagger,Doran's Blade,Blade of The Ruined King
Lillia,Zhonya's Hourglass,Legendary,0.4135,0.3721,2.99,30.0,Liandry's Torment,Riftmaker,Rylai's Crystal Scepter
Irelia,Forbidden Idol,Epic,0.0045,1.0,0.73,30.0,,,
Olaf,Stridebreaker,Legendary,0.5654,0.4815,1.97,15.0,Death's Dance,Sundered Sky,Experimental Hexplate
Yorick,Tunneler,Epic,0.1778,0.5,1.84,20.0,Trinity Force,Spear of Shojin,Black Cleaver
Xayah,Serpent's Fang,Legendary,0.0156,0.0,1.45,30.0,Essence Reaver,Infinity Edge,Mortal Reminder
Ezreal,Vampiric Scepter,Epic,0.0516,0.5172,2.65,30.0,Spear of Shojin,Serylda's Grudge,Trinity Force
Yorick,Stridebreaker,Legendary,0.0222,0.3333,2.46,15.0,Spear of Shojin,Mercurial Scimitar,Death's Dance
Gragas,Bramble Vest,Epic,0.0143,0.6667,2.33,10.0,Hextech Rocketbelt,Cosmic Drive,Frozen Heart
Karma,Locket of the Iron Solari,Legendary,0.006,0.25,3.25,25.0,Moonstone Renewer,Redemption,Imperial Mandate
Rell,Stealth Ward,Trinket,0.003,0.0,0.5,5.0,Control Ward,Boots,Refillable Potion
Orianna,Cloth Armor,Basic,0.0179,0.5714,1.13,15.0,Amplifying Tome,Blackfire Torch,Shadowflame
Hecarim,Farsight Alteration,Trinket,0.026,0.2857,2.47,25.0,Ionian Boots of Lucidity,Spear of Shojin,Death's Dance
Nautilus,Kaenic Rookern,Legendary,0.0147,0.4167,3.06,30.0,Bandlepipes,Locket of the Iron Solari,Thornmail
Maokai,Farsight Alteration,Trinket,0.0556,0.25,2.29,20.0,Doran's Shield,Mercury's Treads,Hollow Radiance
Hecarim,Sheen,Epic,0.0037,1.0,7.0,20.0,Death's Dance,Eclipse,
Shaco,Shadowflame,Legendary,0.0485,0.6,3.98,25.0,Blackfire Torch,Liandry's Torment,Rabadon's Deathcap
Zaahen,Elixir of Iron,Consumable,0.005,0.5,1.96,30.0,Death's Dance,Plated Steelcaps,Sundered Sky
Twitch,Dark Seal,Starter,0.0789,0.5294,1.87,5.0,Nashor's Tooth,Rabadon's Deathcap,Doran's Ring
Briar,Farsight Alteration,Trinket,0.0354,0.75,2.49,15.0,Black Cleaver,Blade of The Ruined King,Plated Steelcaps
Udyr,Oblivion Orb,Epic,0.06,0.2222,2.29,10.0,Liandry's Torment,Randuin's Omen,Spirit Visage
Tristana,Quicksilver Sash,Epic,0.0178,0.4286,2.16,25.0,Infinity Edge,Navori Flickerblade,Yun Tal Wildarrows
Ambessa,Chempunk Chainsword,Legendary,0.0073,0.2,2.57,35.0,Death's Dance,Eclipse,Spear of Shojin
Taliyah,Oblivion Orb,Epic,0.0532,0.5,2.16,25.0,Liandry's Torment,Rylai's Crystal Scepter,Blackfire Torch
Vex,Blighting Jewel,Epic,0.0667,0.4444,2.21,30.0,Luden's Companion,Shadowflame,Zhonya's Hourglass
Tristana,Scout's Slingshot,Epic,0.0051,1.0,3.58,10.0,Infinity Edge,Navori Flickerblade,The Collector
KSante,Thornmail,Legendary,0.2359,0.4478,2.26,20.0,Iceborn Gauntlet,"Jak'Sho, The Protean",Kaenic Rookern
Kaisa,Cloak of Agility,Basic,0.0165,0.3571,1.71,20.0,Kraken Slayer,Guinsoo's Rageblade,Berserker's Greaves
Morgana,Boots,Boots,0.021,0.3333,2.1,5.0,Blackfire Torch,Horizon Focus,Liandry's Torment
Diana,Spectre's Cowl,Epic,0.0025,0.5,2.13,25.0,Dusk and Dawn,Riftmaker,Zhonya's Hourglass
Gnar,Hearthbound Axe,Epic,0.0146,0.3333,0.05,10.0,Black Cleaver,Sheen,Phage
Dr Mundo,Winged Moonplate,Epic,0.0717,0.475,2.3,15.0,Heartsteel,Chain Vest,Spirit Visage
Swain,Quicksilver Sash,Epic,0.0027,1.0,1.88,15.0,Blackfire Torch,Oblivion Orb,Rylai's Crystal Scepter
